key,ionic_radius,temperature,n_points,Rs,R,tau,alpha,f_char_hz,log10_R_over_Rs,fit_rmse_rel,fit_ok,Z_min_mag,Z_max_mag,log10_Z_range,phase_min_deg,phase_max_deg,phase_range_deg,f_at_phase_min_hz,neg_im_peak,f_at_neg_im_peak_hz,re_at_neg_im_peak
r=1.820e-10_T=-10,1.82e-10,-10.0,181,8.4307995029235e-11,3134155.616302571,0.003229537415527477,0.6130675208667667,49.28103397306537,16.570251794898624,0.14073179908832759,True,10173.224660843778,3629448.9939934406,2.552382062114636,-71.9034432047933,-14.931417178137554,56.972026026655755,1000000.0,1290000.0,1.17,3300000.0
r=1.820e-10_T=0,1.82e-10,0.0,181,3300.4224915256486,1634420.317180663,0.0010201055263992945,0.7408454206217505,156.01811672726706,2.6947942142356176,0.1689191221322466,True,5722.464504040196,3007191.3806740004,2.72057796045296,-71.29738941118228,-11.484720764974359,59.812668646207925,5010.0,1440000.0,1.0,2640000.0
r=1.820e-10_T=10,1.82e-10,10.0,181,3472.831556249677,1293547.9379991263,0.000867078762874021,0.7235026752068188,183.55304028478344,2.571098808895224,0.18841396278658695,True,6090.525428893635,2884527.6909747287,2.675419951685638,-69.53206035725329,-11.607713439954141,57.92434691729915,5840.0,1400000.0,1.36,2170000.0
r=1.820e-10_T=20,1.82e-10,20.0,181,1.933900894001176e-21,243875.4644110348,2.5008316008392568e-05,0.6013950579680701,6364.080773710808,17.38716810942854,0.1499778359456418,True,12466.932260985459,352080.95659947296,1.4508829357820654,-74.26924131710027,-0.05485764447318612,74.21438367262708,1000000.0,121000.0,1.36,308000.0
r=1.820e-10_T=30,1.82e-10,30.0,181,1.933900894001176e-21,243875.4644110348,2.5008316008392568e-05,0.6013950579680701,6364.080773710808,17.38716810942854,0.1499778359456418,True,12466.932260985459,352080.95659947296,1.4508829357820654,-74.26924131710027,-0.05485764447318612,74.21438367262708,1000000.0,121000.0,1.36,308000.0
r=1.820e-10_T=40,1.82e-10,40.0,181,2.8776358430569023e-13,161633.85678709397,1.6098470968647305e-05,0.5751237039232271,9886.339106481524,17.208532335867577,0.13027911925204386,True,11603.882970799043,271843.63152371254,1.3697158231055993,-67.23580392725448,-0.04955309425081812,67.18625083300367,1000000.0,88600.0,1.0,257000.0
r=1.820e-10_T=50,1.82e-10,50.0,181,6.246423601010603e-08,159571.62888198005,1.07123664152468e-05,0.5953884002910534,14857.122779647618,12.407324245713504,0.1272450549407588,True,12339.222017615211,266844.6926584825,1.3349707909436905,-71.4769490740195,-0.002780648318242024,71.47416842570127,1000000.0,75300.0,1.0,256000.0
r=1.820e-10_T=60,1.82e-10,60.0,181,1.2927043571372689e-25,159326.1896841103,9.577946647420056e-06,0.5997136411393362,16616.812449541656,17.20228717002851,0.12798420326973745,True,12712.985487288184,262595.29698758887,1.31503939250873,-72.13513962207688,-1.2725755160141679,70.8625641060627,1000000.0,64100.0,1.26,246000.0
r=1.820e-10_T=70,1.82e-10,70.0,181,1.986906615562425e-28,151487.06980660657,1.1540433417074547e-05,0.5675466047427318,13791.071560312375,17.18037556517304,0.13338709497949736,True,12482.487732819929,254784.71304220747,1.3098722190652126,-69.60512391795163,-2.585647954388639,67.019475963563,1000000.0,62500.0,1.0,247000.0
r=2.060e-10_T=-10,2.06e-10,-10.0,151,8744.87034387996,120881.18470540391,2.259104708876376e-05,0.8703693584089355,7045.044989130015,1.1406053329080996,0.11072295669867666,True,8964.424130974616,196476.9961089593,1.3407893136975129,-53.47582145771371,-2.6768795967387184,50.79894186097499,27500.0,50900.0,8320.0,67400.0
r=2.060e-10_T=-5,2.06e-10,-5.0,151,7773.090043251299,116939.84606899963,2.245750288569074e-05,0.8791125879072822,7086.938556882216,1.17736881923897,0.10572074309526032,True,7884.167679596877,185330.7583753976,1.3711916506493858,-55.259210652440395,-2.3478119919187,52.9113986605217,30200.0,51300.0,9120.0,59600.0
r=2.060e-10_T=0,2.06e-10,0.0,151,7357.263809367542,106415.32242847167,2.0571368305479495e-05,0.9012322064124683,7736.721287980733,1.1602878364266667,0.10677476305350021,True,7300.801325881975,162975.73439012322,1.3487524164049374,-55.32840558730388,-0.9064656526601765,54.4219399346437,30200.0,48900.0,33.1,101000.0
r=2.060e-10_T=5,2.06e-10,5.0,151,6608.709909323221,103155.89897908221,2.0183717829420884e-05,0.9094200119374221,7885.313520381386,1.1933773793436657,0.08528886190153001,True,6476.54228736291,149655.73827955947,1.363750168219525,-56.509221338208995,-1.6382127272992038,54.87100861090979,27500.0,46900.0,8320.0,60300.0
r=2.060e-10_T=10,2.06e-10,10.0,151,5894.666352744235,95691.0774722454,1.93725253183648e-05,0.9198475157039304,8215.498004331906,1.2104122163376514,0.07949976756124376,True,5815.573918367817,135620.09438132684,1.367731462115398,-57.38764675315024,-0.31503149723563056,57.07261525591461,30200.0,44200.0,9120.0,52800.0
r=2.060e-10_T=15,2.06e-10,15.0,151,5093.600033844855,88005.93407547192,1.8241591437413693e-05,0.9196474220924373,8724.8387092733,1.2374871170603243,0.12749925931844155,True,5362.881688047947,130565.84545737832,1.3864313693071513,-78.27812174595086,-0.5787423148466133,77.69937943110425,363000.0,81400.0,15.8,47500.0
r=2.060e-10_T=20,2.06e-10,20.0,151,4973.197776059245,84317.8551446389,1.8101003947893416e-05,0.9344290574804767,8792.603081577567,1.229283819773328,0.07175740436806158,True,4919.400369963802,115335.38052133005,1.370050383354961,-58.58185243592964,-0.6620246398389504,57.919827796090686,33100.0,40200.0,10000.0,45000.0
r=2.060e-10_T=25,2.06e-10,25.0,151,4569.833442851566,81091.9425168199,1.798612688957291e-05,0.9373091602567517,8848.7612741219,1.2490773322629791,0.06965448584002935,True,4528.5980170467765,110256.79117405876,1.3864415769089393,-59.381394591090604,-0.5352195395786885,58.84617505151191,33100.0,38600.0,10000.0,43200.0
r=2.060e-10_T=30,2.06e-10,30.0,151,4223.139789938009,79169.07188363856,1.8100715685890227e-05,0.9369588490890229,8792.743107719158,1.2729200964176068,0.06841642369650563,True,4259.589182069088,107245.93232379493,1.4010131136332156,-59.944107273060304,-0.5656032145154309,59.37850405854487,36300.0,37600.0,10000.0,41600.0
r=2.060e-10_T=35,2.06e-10,35.0,151,3944.7964884555013,72383.98756117899,1.581573648564614e-05,0.9232808583647741,10063.075041515727,1.2636179013512625,0.06905464531998645,True,4083.8339829136053,100487.06384405906,1.391042077933593,-58.79534886960844,-0.254113506562645,58.54123536304579,43700.0,33600.0,11000.0,39700.0
r=2.060e-10_T=40,2.06e-10,40.0,151,3547.823067718103,67133.99159529444,1.3737703583311062e-05,0.9304819613510609,11585.265479540636,1.2769805167146253,0.05603461170602455,True,3706.818042472546,86904.83300714637,1.3700426611545078,-59.09603866591423,-0.3519920646562256,58.744046601258006,52500.0,31300.0,12000.0,38100.0
r=2.060e-10_T=45,2.06e-10,45.0,151,3208.3802692078903,62429.281468383415,1.4884114180925902e-05,0.9390550966485798,10692.94021513578,1.2891024995689386,0.06081818078044892,True,3302.9683619435414,83723.35397008412,1.403942204170881,-60.03589951577139,-0.37274023143502516,59.663159284336366,47900.0,29000.0,11000.0,36200.0
r=2.060e-10_T=50,2.06e-10,50.0,301,3511.0204244047413,65923.58241646759,1.734453653964639e-05,0.9062398681158559,9176.085087548849,1.2736074438797773,0.06450850663934317,True,3679.7961900083546,88791.9478331228,1.3825498178202364,-58.2339889931235,-1.0360873195764448,57.19790167354706,38000.0,29400.0,10500.0,35400.0
r=2.060e-10_T=55,2.06e-10,55.0,151,2700.5745375917218,64159.37679726223,1.7342842993860573e-05,0.9424718781992931,9176.98114134094,1.375803968251292,0.060933423904313264,True,2807.7749197540747,84831.12636290997,1.4801929430611172,-62.20436384352025,-0.44121389553490675,61.76314994798534,39800.0,30200.0,10000.0,34800.0
r=2.060e-10_T=60,2.06e-10,60.0,151,2488.137094361248,64108.29491861002,1.800407310784616e-05,0.9434948482643464,8839.940947725643,1.4110399201977584,0.05944421891335848,True,2603.8625155718187,84488.63828941736,1.5111802609352616,-63.03193709069911,-0.2887180727151668,62.74321901798394,39800.0,29900.0,10000.0,33500.0
r=2.060e-10_T=65,2.06e-10,65.0,151,2281.030195274524,63830.472073719575,1.8520894362561934e-05,0.9458174018442589,8593.264449129982,1.446897022057686,0.05689907217005803,True,2409.502023240487,83173.67371951295,1.5380585890612206,-64.0466242976358,-0.5192287875844697,63.527395510051335,47900.0,29600.0,9120.0,35000.0
r=2.060e-10_T=70,2.06e-10,70.0,151,2083.7486339816255,62269.618388155686,1.8516588764523243e-05,0.9481566603027307,8595.262611050011,1.4754308760773416,0.05435981183356921,True,2224.634801489898,80410.5092634041,1.5580540857338985,-64.6135348221266,-0.5674123209386038,64.046122501188,47900.0,28700.0,9120.0,34000.0
r=2.060e-10_T=75,2.06e-10,75.0,151,1911.1240246629745,60110.499060612296,1.8227608681643845e-05,0.9497024085376542,8731.531704000903,1.4976614616386625,0.05133119236341099,True,2062.896264963413,76611.03053738411,1.5698139147740318,-65.15761089454482,-0.3933678278899137,64.7642430666549,47900.0,27400.0,10000.0,28800.0
r=2.060e-10_T=80,2.06e-10,80.0,151,1738.2770639304388,56735.73803341604,1.7497550748082033e-05,0.9505271370337369,9095.841205623643,1.513737708837806,0.05274641238156272,True,1907.6228662919723,73175.54236218547,1.5838734304261068,-65.39260846897666,-0.1962995547964959,65.19630891418016,52500.0,25700.0,10000.0,28300.0
